facility_name,health_authority,address,locality,province,postal_code,latitude,longitude,source_label,source_url,verification_status,notes
Greater Victoria Hospitals,Vancouver Island Health,,,BC,,,,Island Health surgical waitlist page,https://www.islandhealth.ca/learn-about-health/surgery/surgical-waitlist,rollup_no_single_location,"Reporting roll-up rather than a single facility address; Island Health lists South Island surgical hospitals including Victoria General Hospital, Royal Jubilee Hospital, and Saanich Peninsula Hospital."
Kelowna General Hospital,Interior Health,2268 Pandosy St,Kelowna,BC,V1Y 1T2,49.8734589,-119.4930479,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/kelowna-general-hospital,geocoded_needs_review,"BC Geocoder matched 2268 Pandosy St, Kelowna, BC score=99 precision=CIVIC_NUMBER."
Kitimat General Hospital,Northern Health,920 S Lahakas Blvd,Kitimat,BC,V8C 2S3,54.0504911,-128.6474501,HealthLinkBC hospitals CSV,https://www.northernhealth.ca/find-a-facility/hospitals/kitimat-general-hospital-and-health-centre,geocoded_needs_review,"Matched source facility name: Kitimat General Hospital and Health Centre. BC Geocoder matched 920 S Lahakas Blvd, Kitimat, BC score=99 precision=CIVIC_NUMBER."
Kootenay Boundary Regional Hospital,Interior Health,1200 Hospital Bench Rd,Trail,BC,V1R 4M1,49.1027830,-117.7016641,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/kootenay-boundary-regional-hospital,geocoded_needs_review,"BC Geocoder matched 1200 Hospital Bench Rd, Trail, BC score=93 precision=CIVIC_NUMBER."
Kootenay Lake Hospital,Interior Health,3 View St,Nelson,BC,V1L 2V1,49.4950196,-117.2851157,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/kootenay-lake-hospital,geocoded_needs_review,"BC Geocoder matched 3 View St, Nelson, BC score=99 precision=CIVIC_NUMBER."
Ksyen Regional Hospital,Northern Health,2800 Tetrault St,Terrace,BC,V8G 2W8,54.5113996,-128.5961926,HealthLinkBC hospitals CSV,https://www.northernhealth.ca/find-a-facility/hospitals/ksyen-regional-hospital,geocoded_needs_review,"BC Geocoder matched 2800 Tetrault St, Terrace, BC score=99 precision=CIVIC_NUMBER."
Langley Memorial Hospital,Fraser Health,22051 Fraser Hwy,Township of Langley,BC,V3A 4H4,49.0948790,-122.6123667,HealthLinkBC hospitals CSV,https://www.fraserhealth.ca/Service-Directory/Locations/Langley/langley-memorial-hospital,geocoded_needs_review,"BC Geocoder matched 22051 Fraser Hwy, Township of Langley, BC score=98 precision=CIVIC_NUMBER."
Lions Gate Hospital,Vancouver Coastal Health,231 E 15th St,North Vancouver,BC,V7L 2L7,49.3210879,-123.0677812,HealthLinkBC hospitals CSV,https://www.vch.ca/en/location/lions-gate-hospital,geocoded_needs_review,"BC Geocoder matched 231 E 15th St, North Vancouver, BC score=99 precision=CIVIC_NUMBER."
Mount Saint Joseph Hospital,Vancouver Coastal Health,3080 Prince Edward St,Vancouver,BC,V5T 3N4,49.2579140,-123.0952083,HealthLinkBC hospitals CSV,https://www.providencehealthcare.org/en/locations/mount-saint-joseph-hospital,geocoded_needs_review,"BC Geocoder matched 3080 Prince Edward St, Vancouver, BC score=99 precision=CIVIC_NUMBER."
Nanaimo Regional General Hospital,Vancouver Island Health,1200 Dufferin Cres,Nanaimo,BC,V9S 2B7,49.1847551,-123.9704505,HealthLinkBC hospitals CSV,https://www.islandhealth.ca/care-locations/hospitals-health-centre-locations/nanaimo-regional-general-hospital,geocoded_needs_review,"BC Geocoder matched 1200 Dufferin Cres, Nanaimo, BC score=99 precision=CIVIC_NUMBER."
