odhf_index,facility_name,source_facility_type,odhf_facility_type,provider,address,postal_code,city,province,csd_name,csd_uid,latitude,longitude,source_url
763,Evergreen Residence,,Nursing and residential care facilities,Province of British Columbia,2841 evergreen st abbotsford bc v2t 2s2,V2T 2S2,abbotsford,BC,Abbotsford,5909052.0,49.053649799999995,-122.3450986,https://www.statcan.gc.ca/en/lode/databases/odhf
764,Evergreen Seniors Home,,Nursing and residential care facilities,Province of British Columbia,635 evergreen rd campbell river bc v9w 3r7,V9W 3R7,campbell river,BC,Campbell River,5924034.0,50.007318,-125.24818,https://www.statcan.gc.ca/en/lode/databases/odhf
765,f.w. Green Memorial Home,,Nursing and residential care facilities,Province of British Columbia,1700 4th street s cranbrook bc v1c 6e1,V1C 6E1,cranbrook,BC,Cranbrook,5901022.0,49.5052761,-115.7573544,https://www.statcan.gc.ca/en/lode/databases/odhf
766,Fair Haven Burnaby Lodge,,Nursing and residential care facilities,Province of British Columbia,7557 sussex ave burnaby bc v5j 3v6,V5J 3V6,burnaby,BC,Burnaby,5915025.0,49.2152662,-123.0058287,https://www.statcan.gc.ca/en/lode/databases/odhf
767,Fair Haven Homes Vancouver Lodge,,Nursing and residential care facilities,Province of British Columbia,2720 e 48th ave vancouver bc v5s 1g7,V5S 1G7,vancouver,BC,Vancouver,5915022.0,49.225367799999994,-123.05136940000001,https://www.statcan.gc.ca/en/lode/databases/odhf
770,Fairfield Medical Treatment Centre,,Ambulatory health care services,Province of British Columbia,302-1990 fort street victoria bc v8r 6v4,V8R 6V4,victoria,BC,Victoria,5917034.0,48.432404,-123.322827,https://www.statcan.gc.ca/en/lode/databases/odhf
771,Fairway Home,,Nursing and residential care facilities,Province of British Columbia,670 fairway ave victoria bc v9b 2r5,V9B 2R5,victoria,BC,Langford,5917044.0,48.446099,-123.49386000000001,https://www.statcan.gc.ca/en/lode/databases/odhf
772,False Creek Residence,,Nursing and residential care facilities,Province of British Columbia,1167 forge walk vancouver bc v6h 3r1,V6H 3R1,vancouver,BC,Vancouver,5915022.0,49.267340000000004,-123.12899999999999,https://www.statcan.gc.ca/en/lode/databases/odhf
773,Family Focus,,Nursing and residential care facilities,Province of British Columbia,143 scotton pl salt spring island bc v8k 1j3,V8K 1J3,salt spring island,BC,Saltspring Island,5917027.0,48.873689,-123.56437,https://www.statcan.gc.ca/en/lode/databases/odhf
774,Felix Road,,Nursing and residential care facilities,Province of British Columbia,295 felix rd kelowna bc v1x 6x8,V1X 6X8,kelowna,BC,Kelowna,5935010.0,49.901886100000006,-119.3907555,https://www.statcan.gc.ca/en/lode/databases/odhf
775,Feltham,,Nursing and residential care facilities,Province of British Columbia,1765 feltham rd victoria bc v8n 2a4,V8N 2A4,victoria,BC,Saanich,5917021.0,48.4758034,-123.3258787,https://www.statcan.gc.ca/en/lode/databases/odhf
