canonical_name,place_type,place_status,health_authority,address,locality,province,postal_code,latitude,longitude,source_label,source_url,verification_status,source_datasets,aliases,notes
Haida Gwaii Hospital & Health Centre - Xaayda Gwaay Ngaaysdll Naay,hospital,physical_place,,3209 Oceanview Dr,Daajing Giids,BC,V0T 1S0,53.2548117,-132.0705826,HealthLinkBC hospitals CSV,https://www.northernhealth.ca/find-a-facility/hospitals/haida-gwaii-hospital-and-health-centre-xaayda-gwaay-ngaaysdll-naay,verified,bc_msp_blue_book|manual_enrichment,Haida Gwaii Hospital & Health Centre - Xaayda Gwaay Ngaaysdll Naay,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $431,733.81. Official Northern Health page includes Xaayda Gwaay Ngaaysdll Naay in URL/title. BC Geocoder matched 3209 Oceanview Dr, Daajing Giids, BC score=99 precision=CIVIC_NUMBER."
Haida Gwaii Hospital and Health Centre (South End),hospital,physical_place,,3209 oceanview drive queen charlotte bc v0t 1s0,queen charlotte,BC,V0T 1S0,53.254868,-132.070526,Statistics Canada Open Database of Healthcare Facilities,https://www.statcan.gc.ca/en/lode/databases/odhf,source_provided_needs_review,statcan_odhf,Haida Gwaii Hospital and Health Centre (South End),Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: unspecified).
Invermere & Dist Hospital,hospital,physical_place,,850 10th Ave,Invermere,BC,V0A 1K0,50.5068047,-116.0321923,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/invermere-district-hospital,verified,bc_msp_blue_book|manual_enrichment,Invermere & Dist Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 7 row(s), 2014/2015 to 2020/2021, total payments $2,636,597.05. Abbreviated MSP payee name. BC Geocoder matched 850 10th Ave, Invermere, BC score=98 precision=BLOCK."
Invermere & District Hospital,hospital,physical_place,,850 10th Ave,Invermere,BC,V0A 1K0,50.5068047,-116.0321923,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/invermere-district-hospital,verified,bc_msp_blue_book|manual_enrichment,Invermere & District Hospital,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $1,864,543.78. BC Geocoder matched 850 10th Ave, Invermere, BC score=98 precision=BLOCK."
Invermere and District Hospital/Columbia Valley,hospital,physical_place,,850 - 10th ave. invermere bc v0a 1k0,invermere,BC,V0A 1K0,50.5067544,-116.03341200000001,Statistics Canada Open Database of Healthcare Facilities,https://www.statcan.gc.ca/en/lode/databases/odhf,source_provided_needs_review,statcan_odhf,Invermere and District Hospital/Columbia Valley,Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general).
Jim Pattison Outpatient Care & Surgery Centre,hospital,physical_place,,9750 140 St,Surrey,BC,V3T 0G9,49.1797171,-122.8338333,HealthLinkBC service page,https://www.healthlinkbc.ca/find-care/find-health-services/program/jim-pattison-outpatient-care-and-surgery-centre,verified_source,bc_msp_blue_book|manual_enrichment|statcan_odhf,Jim Pattison Outpatient Care & Surgery Centre|Jim Pattison Outpatient Care and Surgery Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 4 row(s), 2021/2022 to 2024/2025, total payments $44,353,158.93. Fraser Health facility, address verified via HealthLinkBC. BC Geocoder matched 9750 140 St, Surrey, BC score=99 precision=CIVIC_NUMBER. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: unspecified)."
Kelowna General Hospital,hospital,physical_place,Interior Health,2268 Pandosy St,Kelowna,BC,V1Y 1T2,49.8734589,-119.4930479,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/kelowna-general-hospital,geocoded_needs_review,bc_msp_blue_book|bc_wait_times|statcan_odhf,Kelowna General Hospital,"BC Geocoder matched 2268 Pandosy St, Kelowna, BC score=99 precision=CIVIC_NUMBER. Imported from bc_wait_times/facility_locations.csv. Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $138,551,096.67. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general)."
Kitimat General Hospital,hospital,physical_place,Northern Health,920 S Lahakas Blvd,Kitimat,BC,V8C 2S3,54.0504911,-128.6474501,HealthLinkBC hospitals CSV,https://www.northernhealth.ca/find-a-facility/hospitals/kitimat-general-hospital-and-health-centre,geocoded_needs_review,bc_msp_blue_book|bc_wait_times,Kitimat General Hospital,"Matched source facility name: Kitimat General Hospital and Health Centre. BC Geocoder matched 920 S Lahakas Blvd, Kitimat, BC score=99 precision=CIVIC_NUMBER. Imported from bc_wait_times/facility_locations.csv. Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $7,657,656.12."
Kitimat Hospital & Health Centre,hospital,physical_place,,920 lahakas blvd. s. kitimat bc v8c 2s3,kitimat,BC,V8C 2S3,54.0504835,-128.6472372,Statistics Canada Open Database of Healthcare Facilities,https://www.statcan.gc.ca/en/lode/databases/odhf,source_provided_needs_review,statcan_odhf,Kitimat Hospital & Health Centre,Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general).
Kootenay Boundary Regional Hospital,hospital,physical_place,Interior Health,1200 Hospital Bench Rd,Trail,BC,V1R 4M1,49.1027830,-117.7016641,HealthLinkBC hospitals CSV,https://www.interiorhealth.ca/locations/kootenay-boundary-regional-hospital,geocoded_needs_review,bc_msp_blue_book|bc_wait_times|statcan_odhf,Kootenay Boundary Regional Hospital,"BC Geocoder matched 1200 Hospital Bench Rd, Trail, BC score=93 precision=CIVIC_NUMBER. Imported from bc_wait_times/facility_locations.csv. Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $70,403,967.62. Imported from StatCan ODHF BC export (ODHF type: Hospitals; source type: general)."
