canonical_name,place_type,source_datasets,aliases,notes
Lake Country Medical,organization,bc_msp_blue_book,Lake Country Medical,"Imported from MSP Blue Book payee names; address not verified. Seen 3 row(s), 2017/2018 to 2019/2020, total payments $235,000.00."
Langley Division of Family Practice,organization,bc_msp_blue_book,Langley Division of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2016/2017 to 2016/2017, total payments $132,000.00."
Langley Primary Health Care Associates,organization,bc_msp_blue_book,Langley Primary Health Care Associates,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $21,186,816.78."
Logan Lake Diagnosis & Treatment Centre,organization,bc_msp_blue_book,Logan Lake Diagnosis & Treatment Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 10 row(s), 2014/2015 to 2024/2025, total payments $444,820.27."
Lumby Health Centre,organization,bc_msp_blue_book,Lumby Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $502,430.78."
Merritt Division Of Family Practice,organization,bc_msp_blue_book,Merritt Division of Family Practice|Merritt Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $47,450.00. Imported from MSP Blue Book payee names; address not verified. Seen 9 row(s), 2015/2016 to 2023/2024, total payments $427,310.00."
Mission Division Of Family Practice,organization,bc_msp_blue_book,Mission Division of Family Practice|Mission Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $113,150.00. Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2015/2016 to 2016/2017, total payments $226,610.00."
Mission Oaks Medical Centre,organization,bc_msp_blue_book,Mission Oaks Medical Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 8 row(s), 2017/2018 to 2024/2025, total payments $26,039,586.41."
Murrayville Family Practice,organization,bc_msp_blue_book,Murrayville Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $33,844,033.44."
Namgis Health Centre,organization,bc_msp_blue_book,Namgis Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2019/2020 to 2022/2023, total payments $93,847.05."
NHA Prince George Division Of Family Practice,organization,bc_msp_blue_book,NHA Prince George Division of Family Practice|NHA Prince George Division Of Family Practice,"Imported from MSP Blue Book payee names; address not verified. Seen 1 row(s), 2014/2015 to 2014/2015, total payments $392,971.47. Imported from MSP Blue Book payee names; address not verified. Seen 6 row(s), 2015/2016 to 2020/2021, total payments $1,373,987.06."
Nicola Valley Health Centre,organization,bc_msp_blue_book,Nicola Valley Health Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 11 row(s), 2014/2015 to 2024/2025, total payments $5,090,381.47."
Nicola Valley Medical Centre,organization,bc_msp_blue_book,Nicola Valley Medical Centre,"Imported from MSP Blue Book payee names; address not verified. Seen 5 row(s), 2020/2021 to 2024/2025, total payments $490,893.00."
Nisga'a Valley Health Board,organization,bc_msp_blue_book,Nisga'a Valley Health Board,"Imported from MSP Blue Book payee names; address not verified. Seen 2 row(s), 2014/2015 to 2015/2016, total payments $1,817,619.77."
